Date,Yield
16-12-2021,1.424
17-12-2021,1.407
19-12-2021,1.377
20-12-2021,1.428
21-12-2021,1.467
22-12-2021,1.453
23-12-2021,1.493
26-12-2021,1.486
27-12-2021,1.477
28-12-2021,1.484
29-12-2021,1.556
30-12-2021,1.507
31-12-2021,1.512
